Annotation_source,taxa,Kingdom,Phylum,Class,Order,Family,Genus,Species,Animal_pathogen,Plant_pathogen,pathogen_type
gtdb_bac_meta-ncbi_taxonomy,Actinoalloteichus hoggarensis,Bacteria,Actinobacteria,Actinomycetia,Pseudonocardiales,Pseudonocardiaceae,Actinoalloteichus,Actinoalloteichus hoggarensis,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Methyloceanibacter sp. wino2,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methyloligellaceae,Methyloceanibacter,Methyloceanibacter sp. wino2,NA,NA,NA
microbe-directory,Lactobacillus iners,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus iners,NA,0,NA
gtdb_bac_meta-ncbi_taxonomy,Psychromicrobium lacuslunae,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Psychromicrobium,Psychromicrobium lacuslunae,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Limnoglobus roseus,Bacteria,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,Limnoglobus,Limnoglobus roseus,NA,NA,NA
microbe-directory,Pseudoalteromonas rubra,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas rubra,NA,NA,NA
microbe-directory,Brucella abortus,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella,Brucella abortus,1,0,1
gtdb_bac_meta-ncbi_taxonomy,Mucinivorans hirudinis,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Mucinivorans,Mucinivorans hirudinis,NA,NA,NA
microbe-directory,Nocardia cyriacigeorgica,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardiaceae,Nocardia,Nocardia cyriacigeorgica,NA,0,NA
gtdb_bac_meta-ncbi_taxonomy,Burkholderia contaminans,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia contaminans,NA,NA,NA
microbe-directory,Wolbachia endosymbiont of Onchocerca ochengi,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,Wolbachia endosymbiont of Onchocerca ochengi,1,0,1
gtdb_bac_meta-ssu_silva_taxonomy,Azoarcus sp. SY39,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Azoarcus,Azoarcus sp. SY39,NA,NA,NA
microbe-directory,Xanthomonas fragariae,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,Xanthomonas fragariae,NA,1,2
gtdb_bac_meta-ncbi_taxonomy,Rhizobium rhizoryzae,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Rhizobium,Rhizobium rhizoryzae,NA,NA,NA
microbe-directory,Listeria grayi,Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae,Listeria,Listeria grayi,NA,0,NA
microbe-directory,Rickettsia parkeri,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia parkeri,1,1,3
microbe-directory,Grimontia hollisae,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Grimontia,Grimontia hollisae,NA,0,NA
microbe-directory,Brachyspira murdochii,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Brachyspiraceae,Brachyspira,Brachyspira murdochii,0,0,NA
gtdb_bac_meta-ncbi_taxonomy,Legionella oakridgensis,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,Legionella oakridgensis,NA,NA,NA
gtdb_bac_meta-lsu_silva_23s_taxonomy,Microcoleus sp. PCC 7113,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Coleofasciculaceae,Microcoleus PCC-7113,Microcoleus sp. PCC 7113,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Granulosicoccus antarcticus,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Granulosicoccaceae,Granulosicoccus,Granulosicoccus antarcticus,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Arenibacter algicola,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Arenibacter,Arenibacter algicola,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Burkholderia sp. MSMB617WGS,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia,Burkholderia sp. MSMB617WGS,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Acetobacter persici,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,Acetobacter persici,NA,NA,NA
microbe-directory,Actinoplanes phage phiAsp2,Viruses,Viruses noname,Viruses noname,Caudovirales,Siphoviridae,Siphoviridae noname,Actinoplanes phage phiAsp2,0,0,NA
microbe-directory,Nautilia profundicola,Bacteria,Proteobacteria,Epsilonproteobacteria,Nautiliales,Nautiliaceae,Nautilia,Nautilia profundicola,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Hydrogenophaga sp. RAC07,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga,Hydrogenophaga sp. RAC07,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Sphingomonas sp. NIC1,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas sp. NIC1,NA,NA,NA
microbe-directory,Alistipes shahii,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes shahii,NA,NA,NA
microbe-directory,Streptococcus anginosus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus anginosus,NA,0,NA
gtdb_bac_meta-ncbi_taxonomy,Bifidobacterium scardovii,Bacteria,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium scardovii,NA,NA,NA
microbe-directory,Halorhodospira halophila,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Halorhodospira,Halorhodospira halophila,0,0,NA
gtdb_bac_meta-ssu_silva_taxonomy,Pelobacter acetylenicus,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Syntrophotaleaceae,Syntrophotalea,Pelobacter acetylenicus,NA,NA,NA
microbe-directory,Streptococcus phage PH15,Viruses,Viruses noname,Viruses noname,Caudovirales,Siphoviridae,Siphoviridae noname,Streptococcus phage PH15,0,0,NA
microbe-directory,Mycoplasma flocculare,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma flocculare,NA,0,NA
microbe-directory,Streptococcus phage PH10,Viruses,Viruses noname,Viruses noname,Caudovirales,Siphoviridae,Siphoviridae noname,Streptococcus phage PH10,0,0,NA
microbe-directory,Bifidobacterium pseudocatenulatum,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium pseudocatenulatum,0,0,NA
gtdb_bac_meta-ssu_silva_taxonomy,Synechococcus sp. WH 7803,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Synechococcus CC9902,Synechococcus sp. WH 7803,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Acidiferrobacter sp. SPIII_3,Bacteria,Proteobacteria,Gammaproteobacteria,Acidiferrobacterales,Acidiferrobacteraceae,Acidiferrobacter,Acidiferrobacter sp. SPIII_3,NA,NA,NA
microbe-directory,Haemophilus pittmaniae,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus pittmaniae,1,NA,1
gtdb_bac_meta-ssu_silva_taxonomy,Serratia sp. ATCC 39006,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Incertae Sedis,Serratia sp. ATCC 39006,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Corynebacterium mustelae,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium mustelae,NA,NA,NA
microbe-directory,secondary endosymbiont of Heteropsylla cubana,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacteriaceae noname,secondary endosymbiont of Heteropsylla cubana,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Rhodococcus sp. PBTS 2,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus sp. PBTS 2,NA,NA,NA
microbe-directory,Spodoptera frugiperda multiple nucleopolyhedrovirus,Viruses,Viruses noname,Viruses noname,Viruses noname,Baculoviridae,Alphabaculovirus,Spodoptera frugiperda multiple nucleopolyhedrovirus,1,1,3
gtdb_bac_meta-ncbi_taxonomy,Pseudomonas arsenicoxydans,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas arsenicoxydans,NA,NA,NA
microbe-directory,Anaplasma marginale,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Anaplasma,Anaplasma marginale,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Psychromonas sp. CNPT3,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Psychromonadaceae,Psychromonas,Psychromonas sp. CNPT3,NA,NA,NA
microbe-directory,Mycoplasma orale,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma orale,0,0,NA
gtdb_bac_meta-ssu_silva_taxonomy,Arachidicoccus sp. KIS59-12,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Arachidicoccus,Arachidicoccus sp. KIS59-12,NA,NA,NA
microbe-directory,Bacillus pseudomycoides,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus pseudomycoides,NA,NA,NA
gtdb_bac_meta-lsu_silva_23s_taxonomy,Actinobacteria bacterium IMCC19121,Bacteria,Actinobacteria,Actinobacteria,uncultured,Actinobacteria bacterium IMCC19121,,,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Euhalothece natronophila,Bacteria,Cyanobacteria,,Chroococcales,Aphanothecaceae,Euhalothece,Euhalothece natronophila,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Francisella sp. FSC1006,Bacteria,Proteobacteria,Gammaproteobacteria,Francisellales,Francisellaceae,Francisella,Francisella sp. FSC1006,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Phytobacter diazotrophicus,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Phytobacter,Phytobacter diazotrophicus,NA,NA,NA
microbe-directory,Pseudomonas amygdali,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas amygdali,0,1,2
gtdb_bac_meta-lsu_silva_23s_taxonomy,Streptomyces sp. MOE7,Bacteria,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp. MOE7,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Pandoraea faecigallinarum,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Pandoraea,Pandoraea faecigallinarum,NA,NA,NA
microbe-directory,Streptococcus lutetiensis,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus lutetiensis,1,NA,1
gtdb_bac_meta-ssu_silva_taxonomy,Paenibacillus sp. CAA11,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,Paenibacillus sp. CAA11,NA,NA,NA
microbe-directory,Xanthomonas campestris,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,Xanthomonas campestris,NA,1,2
gtdb_bac_meta-ncbi_taxonomy,Spiribacter curvatus,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Spiribacter,Spiribacter curvatus,NA,NA,NA
microbe-directory,Xylanimonas cellulosilytica,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Promicromonosporaceae,Xylanimonas,Xylanimonas cellulosilytica,0,0,NA
gtdb_bac_meta-ncbi_taxonomy,Thermoactinomyces vulgaris,Bacteria,Firmicutes,Bacilli,Bacillales,Thermoactinomycetaceae,Thermoactinomyces,Thermoactinomyces vulgaris,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Planococcus versutus,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Planococcus,Planococcus versutus,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Agarivorans gilvus,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Agarivorans,Agarivorans gilvus,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Salinibacterium sp. CGMCC 1.16371,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Salinibacterium sp. CGMCC 1.16371,,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Azoarcus communis,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Zoogloeaceae,Azoarcus,Azoarcus communis,NA,NA,NA
microbe-directory,Paenibacillus terrae,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus terrae,0,0,NA
gtdb_bac_meta-ncbi_taxonomy,Cedecea neteri,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cedecea,Cedecea neteri,NA,NA,NA
microbe-directory,Roseobacter denitrificans,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseobacter,Roseobacter denitrificans,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Sphingobium hydrophobicum,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,Sphingobium hydrophobicum,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Neisseria zoodegmatis,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria zoodegmatis,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Bartonella krasnovii,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bartonellaceae,Bartonella,Bartonella krasnovii,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Mycolicibacterium doricum,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium doricum,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Streptomyces hundungensis,Bacteria,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces hundungensis,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Massilia sp. WG5,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,Massilia sp. WG5,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Pontibacter actiniarum,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Pontibacter,Pontibacter actiniarum,NA,NA,NA
microbe-directory,Thiomonas intermedia,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiales noname,Thiomonas,Thiomonas intermedia,0,0,NA
microbe-directory,Rhizobium etli,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,Rhizobium etli,0,0,NA
gtdb_bac_meta-ncbi_taxonomy,Flavisolibacter tropicus,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Flavisolibacter,Flavisolibacter tropicus,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Algibacter alginicilyticus,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Algibacter,Algibacter alginicilyticus,NA,NA,NA
microbe-directory,Caldicellulosiruptor hydrothermalis,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III Incertae Sedis,Caldicellulosiruptor,Caldicellulosiruptor hydrothermalis,NA,NA,NA
microbe-directory,Rhodospirillum centenum,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Rhodospirillum,Rhodospirillum centenum,NA,NA,NA
microbe-directory,Bordetella avium,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella,Bordetella avium,1,0,1
microbe-directory,Caldicellulosiruptor lactoaceticus,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III Incertae Sedis,Caldicellulosiruptor,Caldicellulosiruptor lactoaceticus,NA,NA,NA
microbe-directory,Brucella pinnipedialis,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Brucella,Brucella pinnipedialis,1,NA,1
gtdb_bac_meta-ncbi_taxonomy,Borreliella burgdorferi,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Borreliaceae,Borreliella,Borreliella burgdorferi,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Bradymonas sediminis,Bacteria,Proteobacteria,Deltaproteobacteria,Bradymonadales,Bradymonadaceae,Bradymonas,Bradymonas sediminis,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Thermoanaerobacterales bacterium SK-G1,Bacteria,Firmicutes,Thermovenabulia,Thermovenabulales,Tepidanaerobacter,Thermoanaerobacterales bacterium SK-G1,,NA,NA,NA
gtdb_bac_meta-lsu_silva_23s_taxonomy,Streptomyces sp. 3211,Bacteria,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp. 3211,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Arthrobacter sp. QXT-31,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter sp. QXT-31,NA,NA,NA
microbe-directory,Labrenzia alexandrii,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Labrenzia,Labrenzia alexandrii,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Rickettsia monacensis,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,Rickettsia monacensis,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Mycolicibacterium boenickei,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium boenickei,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Borrelia parkeri,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Borreliaceae,Borrelia,Borrelia parkeri,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Mannheimia granulomatis,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,Mannheimia granulomatis,NA,NA,NA
microbe-directory,Campylobacter lari,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter lari,1,NA,1
microbe-directory,Fowlpox virus,Viruses,Viruses noname,Viruses noname,Viruses noname,Poxviridae,Avipoxvirus,Fowlpox virus,1,NA,1
gtdb_bac_meta-ssu_silva_taxonomy,Frankia sp. EAN1pec,Bacteria,Actinobacteria,Actinomycetia,Frankiales,Frankiaceae,Frankia,Frankia sp. EAN1pec,NA,NA,NA
microbe-directory,Candidatus Ruthia magnifica,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria noname,Gammaproteobacteria noname,Gammaproteobacteria noname,Candidatus Ruthia magnifica,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Leptolyngbya sp. NIES-3755,Bacteria,Cyanobacteria,Cyanobacteriia,Leptolyngbyales,Leptolyngbyaceae,Leptolyngbya PCC-6306,Leptolyngbya sp. NIES-3755,NA,NA,NA
microbe-directory,Prevotella ruminicola,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella ruminicola,1,0,1
microbe-directory,Odoribacter splanchnicus,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Odoribacter,Odoribacter splanchnicus,NA,NA,NA
microbe-directory,Enterobacter cancerogenus,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,Enterobacter cancerogenus,0,1,2
gtdb_bac_meta-ncbi_taxonomy,Nostoc flagelliforme,Bacteria,Cyanobacteria,,Nostocales,Nostocaceae,Nostoc,Nostoc flagelliforme,NA,NA,NA
microbe-directory,Cellulosilyticum lentocellum,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Cellulosilyticum,Cellulosilyticum lentocellum,NA,1,2
gtdb_bac_meta-ncbi_taxonomy,Bradyrhizobium erythrophlei,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium erythrophlei,NA,NA,NA
microbe-directory,Thermus scotoductus,Bacteria,Deinococcus Thermus,Deinococci,Thermales,Thermaceae,Thermus,Thermus scotoductus,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Staphylococcus piscifermentans,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus piscifermentans,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Photorhabdus laumondii,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Photorhabdus,Photorhabdus laumondii,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Blattabacterium sp. (Nauphoeta cinerea),Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Blattabacteriaceae,Blattabacterium,Blattabacterium sp. (Nauphoeta cinerea),NA,NA,NA
gtdb_ar_meta-ncbi_taxonomy,Methanolacinia petrolearia,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanolacinia,Methanolacinia petrolearia,NA,NA,NA
microbe-directory,Lactobacillus ruminis,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus ruminis,0,0,NA
ncbi,Geobacter sp. M21,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,Geobacter sp. M21,NA,NA,NA
microbe-directory,Cupriavidus basilensis,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,Cupriavidus basilensis,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Actinosynnema pretiosum,Bacteria,Actinobacteria,Actinomycetia,Pseudonocardiales,Pseudonocardiaceae,Actinosynnema,Actinosynnema pretiosum,NA,NA,NA
microbe-directory,Alicyclobacillus acidocaldarius,Bacteria,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Alicyclobacillus,Alicyclobacillus acidocaldarius,0,0,NA
gtdb_bac_meta-ncbi_taxonomy,[Bacillus] caldolyticus,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus,[Bacillus] caldolyticus,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Halotalea alkalilenta,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halotalea,Halotalea alkalilenta,NA,NA,NA
microbe-directory,Tetrapisispora phaffii,Eukaryota,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetaceae,Tetrapisispora,Tetrapisispora phaffii,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Bacillus wiedmannii,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus wiedmannii,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Pseudomonas sp. XWY-1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas sp. XWY-1,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Macrococcus sp. IME1552,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Macrococcus,Macrococcus sp. IME1552,NA,NA,NA
gtdb_bac_meta-ssu_silva_taxonomy,Halobacteriovorax sp. BALOs_7,Bacteria,Proteobacteria,Oligoflexia,Bacteriovoracales,Bacteriovoracaceae,Halobacteriovorax,Halobacteriovorax sp. BALOs_7,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Marinobacter salinus,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Marinobacter,Marinobacter salinus,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Aquabacterium olei,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,,Aquabacterium,Aquabacterium olei,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Streptomyces davaonensis,Bacteria,Actinobacteria,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces davaonensis,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Corynebacterium sanguinis,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium sanguinis,NA,NA,NA
gtdb_bac_meta-lsu_silva_23s_taxonomy,Rhodococcus sp. BH4,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus sp. BH4,NA,NA,NA
microbe-directory,Bacteroides uniformis,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis,NA,NA,NA
microbe-directory,Haloferax gibbonsii,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Haloferax,Haloferax gibbonsii,0,0,NA
gtdb_bac_meta-ncbi_taxonomy,Protaetiibacter intestinalis,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Protaetiibacter,Protaetiibacter intestinalis,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Gibbsiella quercinecans,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Gibbsiella,Gibbsiella quercinecans,NA,NA,NA
microbe-directory,Staphylococcus hominis,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus hominis,NA,0,NA
microbe-directory,Metallosphaera sedula,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Metallosphaera,Metallosphaera sedula,NA,NA,NA
gtdb_bac_meta-ncbi_taxonomy,Corynebacterium riegelii,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium riegelii,NA,NA,NA
gtdb_ar_meta-ncbi_taxonomy,Methanobacterium paludis,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Methanobacterium paludis,NA,NA,NA
microbe-directory,Citrobacter youngae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Citrobacter,Citrobacter youngae,0,0,NA
